Position,Load,ON odds,odds,Class,Num horses,Result
5,133,4.7,6.1,4,14,0
14,132,14,9.8,4,14,0
13,132,8,9.7,4,14,0
9,127,22,16,4,14,0
1,127,59,94,4,14,0
8,127,70,61,4,14,0
6,127,12,20,4,14,0
3,127,4,3.3,4,14,0
11,125,43,50,4,14,0
12,124,7.3,5.2,4,14,0
7,122,18,33,4,14,0
10,118,26,54,4,14,0
2,118,10,9.3,4,14,0
4,115,19,26,4,14,0
