Position,Load,ON odds,odds,Class,Num horses,Result
8,132,15,15,3,14,0
4,129,11,9.7,3,14,0
11,126,24,18,3,14,0
12,124,22,46,3,14,0
7,124,2.9,2.8,3,14,0
3,121,4.5,3.7,3,14,0
5,121,8,6.6,3,14,0
6,118,17,39,3,14,0
2,118,26,40,3,14,0
14,117,95,99,3,14,0
1,116,18,47,3,14,0
10,115,15,10,3,14,0
9,115,24,44,3,14,0
13,115,44,99,3,14,0
