Position,Load,ON odds,odds,Class,Num horses,Result
3,133,6.3,6.1,4,14,8
1,131,17,25,4,14,9
6,130,4.9,6,4,14,1
2,127,36,38,4,14,13
10,126,16,16,4,14,11
9,125,6.3,5.1,4,14,6
12,124,14,11,4,14,7
7,124,65,89,4,14,4
11,122,80,99,4,14,10
5,121,4.2,3.7,4,14,2
14,121,15,18,4,14,14
13,120,14,18,4,14,5
8,118,17,19,4,14,3
4,118,37,38,4,14,12
