Position,Load,ON odds,odds,Class,Num horses,Result
7,133,8.7,8.8,3,14,10
3,131,13,28,3,14,11
13,131,14,11,3,14,14
8,126,12,13,3,14,7
6,125,22,30,3,14,4
1,124,13,11,3,14,3
12,124,17,16,3,14,8
5,119,22,60,3,14,1
4,118,3.2,2.8,3,14,2
11,118,23,90,3,14,13
9,115,80,68,3,14,4
10,115,51,99,3,14,12
14,114,15,20,3,14,9
2,113,4.8,3.7,3,14,6
