Position,Load,ON odds,odds,Class,Num horses,Result
4,133,7.9,9.4,4,12,
2,133,7.3,11,4,12,
9,131,22,44,4,12,
3,130,4.4,3,4,12,
11,126,14,34,4,12,
12,123,22,31,4,12,
5,123,15,41,4,12,
1,122,4.9,3,4,12,
8,121,7.4,6.8,4,12,
10,121,29,46,4,12,
7,120,12,14,4,12,
6,116,21,64,4,12,
