Position,Load,ON odds,odds,Class,Num horses,Result
6,133,9.9,10,2,8,0
7,129,1.9,1.8,2,8,0
8,127,6.2,5.8,2,8,0
1,122,38,54,2,8,0
4,121,63,99,2,8,0
2,120,4.5,4.4,2,8,0
5,119,7.1,7.6,2,8,0
3,118,31,40,2,8,0
