Position,Load,ON odds,odds,Class,Num horses,Result
6,130,2.3,2.3,4,10,
3,130,38,40,4,10,
5,129,6,5.6,4,10,
9,124,28,20,4,10,
7,124,10,8.3,4,10,
1,124,7.4,7.6,4,10,
10,124,16,22,4,10,
8,120,9.4,11,4,10,
4,119,13,16,4,10,
2,119,12,11,4,10,
