Position,Load,ON odds,odds,Class,Num horses,Result
7,133,18,29,5,12,0
10,133,8.7,10,5,12,0
8,133,9,9.3,5,12,0
3,132,13,14,5,12,0
12,131,32,37,5,12,0
5,131,9,7.2,5,12,0
2,129,79,99,5,12,0
11,126,15,15,5,12,0
4,125,3.8,3.3,5,12,0
1,123,5.2,4.7,5,12,0
6,123,11,13,5,12,0
9,118,10,11,5,12,0
