Position,Load,ON odds,odds,Class,Num horses,Result
5,133,7.2,11,4,12,
10,133,20,27,4,12,
6,133,8.7,10,4,12,
3,130,4.2,2.2,4,12,
11,127,23,25,4,12,
7,125,4.3,6.1,4,12,
4,124,10,11,4,12,
2,121,6.8,8.5,4,12,
8,119,18,22,4,12,
12,117,74,73,4,12,
1,115,38,55,4,12,
9,114,15,20,4,12,
