Position,Load,ON odds,odds,Class,Num horses,Result
4,131,6.2,6.9,4,12,9
9,131,12,17,4,12,1
1,130,3.5,2.6,4,12,3
6,127,30,40,4,12,10
12,126,7.4,8.6,4,12,7
10,125,6.6,6.1,4,12,11
8,124,70,99,4,12,8
3,121,14,15,4,12,4
5,118,15,13,4,12,2
2,118,8.4,10,4,12,5
11,115,34,51,4,12,6
7,113,13,14,4,12,12
