Position,Load,ON odds,odds,Class,Num horses,Result
9,133,4.2,9.6,3,13,6
13,131,4,3.2,3,13,4
2,130,4.4,2.8,3,13,2
8,129,11,13,3,13,7
3,128,19,49,3,13,9
4,122,21,29,3,13,8
12,122,19,43,3,13,5
11,117,73,99,3,13,12
7,117,4.9,4.6,3,13,1
10,116,24,68,3,13,11
5,115,20,46,3,13,3
6,115,22,40,3,13,10
1,114,58,99,3,13,13
