Position,Load,ON odds,odds,Class,Num horses,Result
10,133,5.8,6.8,4,12,4
4,133,23,3.9,4,12,2
8,130,2.8,6,4,12,1
12,130,11,16,4,12,9
7,130,38,3.1,4,12,3
3,127,6.5,71,4,12,11
6,125,15,36,4,12,10
1,123,39,46,4,12,6
9,122,33,16,4,12,5
2,121,17,32,4,12,7
11,121,7.1,99,4,12,12
5,118,17,9.5,4,12,8
