Position,Load,ON odds,odds,Class,Num horses,Result
3,133,6.9,4.7,3,14,2
12,130,51,64,3,14,12
14,129,91,99,3,14,11
5,129,6.2,7.1,3,14,6
6,128,16,54,3,14,5
8,128,11,11,3,14,8
4,127,5.8,4.9,3,14,14
11,125,91,99,3,14,3
9,124,6,6.4,3,14,4
13,122,50,99,3,14,10
7,121,15,15,3,14,7
1,131,22,29,3,14,7
10,119,4.1,3.8,3,14,1
2,119,99,99,3,14,13
